survey_id	country	area	location	site_code	site_name	latitude	longitude	depth	survey_date	latest_surveydate_for_site	has_pq_scores_in_db	has_rugosity_scores_in_db	has_pqs_catalogued_in_db	visibility	hour	direction	survey_latitude	survey_longitude	avg_rugosity	max_rugosity	surface	program	old_site_codes	methods
62003087	Indonesia	Aceh	Aceh	ACEH1	Rubiah Jetty Nth	5.88	95.26	12	22/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	N	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003713	Indonesia	Aceh	Aceh	ACEH1	Rubiah Jetty Nth	5.88	95.26	5	22/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	N	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003093	Indonesia	Aceh	Aceh	ACEH10	Ujung Kareung	5.88	95.35	7	24/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	SE	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003097	Indonesia	Aceh	Aceh	ACEH11	Bate Bukulah	5.87	95.27	9	25/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	S	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003718	Indonesia	Aceh	Aceh	ACEH11	Bate Bukulah	5.87	95.27	3.5	25/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	S	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003098	Indonesia	Aceh	Aceh	ACEH12	Tokong	5.9	95.25	9	25/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	S	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003719	Indonesia	Aceh	Aceh	ACEH12	Tokong	5.9	95.25	6	25/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	S	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003099	Indonesia	Aceh	Aceh	ACEH13	Paloh	5.66	95.09	6	25/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	SE	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003100	Indonesia	Aceh	Aceh	ACEH14	Lamteng	5.65	95.16	4	25/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003101	Indonesia	Aceh	Aceh	ACEH15	Ujung Murung	5.85	95.28	7	26/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	E	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003720	Indonesia	Aceh	Aceh	ACEH15	Ujung Murung	5.85	95.28	4	26/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	NE	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003102	Indonesia	Aceh	Aceh	ACEH16	Rubiah Channel Nth	5.89	95.25	6	26/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	E	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003721	Indonesia	Aceh	Aceh	ACEH16	Rubiah Channel Nth	5.89	95.25	5	26/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
62003722	Indonesia	Aceh	Aceh	ACEH16	Rubiah Channel Nth	5.89	95.25	5.1	26/02/2009	TRUE	TRUE	FALSE	TRUE	NA	NA	S	NA	NA	NA	NA	NA	RLS	NA	1, 13, 2
